player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
Damyean Dotson,Houston,44,41447,13.9062,1.25,0.6875,0.1875,6.7812,129.9,103.189,2016,6.5,12,1
Diamond Stone,Maryland,40,40521,12.4118,0.4118,0.5,1.5882,5.4706,114.3,97.5476,2016,6.11,40,1
Shabazz Napier,Connecticut,24,18516,17.0714,4.6071,2,0.1071,4.3929,115.3,96.6926,2013,6.0,188,1
Damian Lillard,Weber St.,6,4509,24.3667,4.1,1.5,0.2333,4.8,122.3,101.836,2012,6.2,1437,1
Jeff Withey,Kansas,39,10238,2.3462,0.1923,0.1923,0.7308,1.7692,109,86.8141,2011,7.0,310,1
Da'Sean Butler,West Virginia,42,3069,17.1429,1.7143,1.2857,0.2857,5.9429,108.7,93.5976,2009,6.7,278,1
Anthony Brown,Stanford,34,16684,12.3056,2.0833,0.8611,0.1111,5,112.8,103.307,2014,6.6,27,1
Tyler Honeycutt,UCLA,35,11221,12.7576,2.8182,0.8788,2.0606,7.2121,97.9,95.3301,2011,6.8,115,1
Isaiah Cousins,Oklahoma,59,27124,2.6562,1.5625,0.7188,0.0625,1.9688,71.9,97.843,2013,6.3,355,1
Saben Lee,Vanderbilt,38,50484,12.6875,3.8125,1.0312,0.1562,3.3438,102.5,106.748,2019,6.2,173,1
Jeremiah Robinson-Earl,Villanova,32,71861,15.72,2.2,0.96,0.64,8.48,114.1,98.2071,2021,6.9,140,1
Kevin Murphy,Tennessee Tech,47,4375,15.4333,2.0333,0.6667,0.1,3.8667,102.5,115.446,2010,6.6,340,1
Jerami Grant,Syracuse,39,25897,3.875,0.45,0.425,0.425,2.95,103.2,91.0257,2013,6.8,116,1
Romero Osby,Oklahoma,51,20669,15.9688,1.25,0.625,0.8438,7.0312,121.6,96.4563,2013,6.8,355,1
Robert Sacre,Gonzaga,60,2747,3,0,0.2,0.4,2.8,129.4,90.3175,2009,7.0,582,1
Admiral Schofield,Tennessee,42,42130,16.4865,2.027,0.8919,0.4595,6.1351,109.2,100.172,2019,6.6,286,1
Andrew Nicholson,St. Bonaventure,19,8064,12.5333,0.2333,0.5667,2.7,6,105.1,94.0677,2009,6.9,435,1
Cassius Winston,Michigan St.,53,44722,6.7429,5.2,0.7429,0.1429,1.8286,106.1,102.391,2017,6.0,263,1
Devonte' Graham,Kansas,34,34391,17.3077,7.2308,1.5897,0.0513,4.0256,117.9,104.223,2018,6.2,310,1
Ryan Reid,Florida St.,57,193,6.7742000000000004,1.129,0.5806,0.5161,3.9677,97.5,93.5205,2010,6.8,24,1
Jon Leuer,Wisconsin,40,1932,8.8485,0.8485,0.5152,0.6061,3.8182,100.1,97.0203,2009,6.10,269,1
Kawhi Leonard,San Diego St.,15,13395,12.75,1.7812,1.4062,0.7188,9.875,106.5,90.8009,2010,6.6,133,1
Sam Dekker,Wisconsin,18,25362,9.5714,1.3429,0.6571,0.4,3.3714,116.7,91.5261,2013,6.7,269,1
Mike Muscala,Bucknell,44,14685,14.9118,1.3824,0.4118,1.9706,7.2941,110.6,91.0505,2011,6.10,160,1
Nolan Smith,Duke,21,198,8.3824,1.7059,0.9412,0.0588,2.1765,105.3,97.6446,2009,6.2,120,1
Jae Crowder,Marquette,34,15568,11.7568,1.5676,1.2973,0.8649,6.7838,121,96.4249,2011,6.6,198,1
Doug McDermott,Creighton,11,14955,14.8974,1.1538,0.2821,0.1026,7.1795,110.1,102.733,2011,6.7,339,1
Nikola Vucevic,USC,16,5408,17.1176,1.5882,0.5294,1.3824,10.2941,115.9,93.3056,2011,6.10,57,1
Patrick Patterson,Kentucky,14,3715,14.3158,0.9474,0.7105,1.3421,7.4474,129.5,94.0703,2010,6.9,307,1
Jabari Parker,Duke,2,32063,19.1429,1.1714,1.0571,1.2286,8.7429,111.7,98.2252,2014,6.8,120,1
Kyle O'Quinn,Norfolk St.,49,8774,5.2903,0.3871,0.3226,0.8065,3.3548,101.8,100.972,2009,6.10,3,1
Draymond Green,Michigan St.,35,8827,9.8919,3.027,1.2162,0.9189,7.7297,114.3,89.1542,2010,6.6,263,1
Tyler Zeller,North Carolina,17,6927,9.3333,0.2593,0.5185,0.8889,4.6296,107.4,97.1863,2010,7.0,134,1
Devin Ebanks,West Virginia,43,9704,12,2.4412,1.0588,0.6765,8.0882,108.5,95.485,2010,6.9,278,1
Lorenzo Brown,North Carolina St.,52,17642,12.7027,6.3243,1.8108,0.5405,4.5405,104.7,98.388,2012,6.5,123,1
Wesley Iwundu,Kansas St.,33,29335,6.6667,1.8485,0.5758,0.3636,4.2121,104.5,99.3296,2014,6.7,321,1
Iman Shumpert,Georgia Tech,17,7189,17.3226,3.4839,2.7419,0.1935,5.9355,107.1,91.788,2011,6.5,283,1
Luke Kennard,Duke,12,40143,19.5135,2.4595,0.8378,0.3514,5.0811,127.3,103.155,2017,6.6,120,1
Robbie Hummel,Purdue,58,21042,15.6667,2.0741,1.0741,1.037,6.9259,123.3,88.1727,2010,6.8,190,1
Khris Middleton,Texas A&M,39,12631,14.4062,2.8125,1.1562,0.0625,5.25,107.6,95.4313,2011,6.7,30,1
Skal Labissiere,Kentucky,28,42780,6.5833,0.3056,0.25,1.6389,3.1389,105.5,95.6059,2016,6.11,307,1
Jalen Brunson,Villanova,33,40885,18.9,4.6,0.925,0.025,3.05,128.5,103.211,2018,6.2,140,1
John Jenkins,Vanderbilt,23,11858,19.8857,1.2,0.8286,0.3143,2.8857,126.4,102.238,2012,6.3,173,1
Josh Richardson,Tennessee,40,20063,2.8788,0.6364,0.5455,0.5152,1.3939,82.8,100.154,2012,6.6,286,1
Kim English,Missouri,44,9696,13.9706,1.1471,1.3235,0.0882,3.3824,99.8,93.6307,2010,6.6,228,1
