player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted,...16,...17
Michael Gbinije,Syracuse,49,21893,17.4865,4.3243,1.9189,0.3514,4.0811,111.2,100.689,2016,6.7,116,1,NA,NA
A.J. Hammons,Purdue,46,24381,14.9697,1.1212,0.2727,2.5455,8.1818,114.7,87.656,2016,7,190,1,NA,NA
Brice Johnson,North Carolina,25,24417,16.95,1.45,1.075,1.475,10.4,126.8,91.501,2016,6.1,134,1,NA,NA
Joel Bolomboy,Weber St.,52,24934,17.0667,1.1333,0.6333,1.1333,12.6,113.1,92.2619,2016,6.9,1437,1,NA,NA
Georges Niang,Iowa St.,50,25519,20.5143,3.3429,0.8857,0.6286,6.2286,116.9,103.73,2016,6.8,291,1,NA,NA
Jake Layman,Maryland,47,26773,11.7143,1.1429,1.1429,1.0286,5.2857,116.5,98.339,2016,6.9,40,1,NA,NA
Denzel Valentine,Michigan St.,14,26984,19.1935,7.7742000000000004,1.0323,0.2258,7.5161,125.5,92.9687,2016,6.5,263,1,NA,NA
Sterling Brown,SMU,46,32989,10.0667,2.6333,1.1,0.4333,4.4,120.4,95.8801,2016,6.6,177,1,NA,NA
Malcolm Brogdon,Virginia,36,33335,18.2432,3.1081,0.9459,0.2432,4.0541,120,98.9573,2016,6.5,201,1,NA,NA
Keita Bates-Diop,Ohio St.,48,33637,11.7576,1.0909,0.7273,1.2424,6.3636,109.4,98.6429,2016,6.7,226,1,NA,NA
Devonte' Graham,Kansas,34,34391,11.1622,3.7027,1.4324,0.1351,3.3514,117.4,97.8683,2016,6.2,310,1,NA,NA
Kevin Hervey,UT Arlington,57,35331,18.4,2.8667,0.6667,0.8,10.0667,110.2,93.1084,2016,6.9,189,1,NA,NA
Daniel Hamilton,Connecticut,56,35659,12.5278,4.7222,1.0556,0.4167,8.9167,102.5,89.7038,2016,6.7,188,1,NA,NA
D.J. Wilson,Michigan,17,36619,2.6,0.2,0.16,0.4,0.68,102.1,101.119,2016,6.1,268,1,NA,NA
Mikal Bridges,Villanova,10,37054,6.35,0.875,1.05,0.65,3.2,125.2,92.0014,2016,6.7,140,1,NA,NA
Grayson Allen,Duke,21,37731,21.6389,3.5278,1.3056,0.1389,4.5833,124.9,106.354,2016,6.5,120,1,NA,NA
Monte Morris,Iowa St.,51,38703,13.8286,6.8857,1.7714,0.2571,3.9429,122.1,105.007,2016,6.3,291,1,NA,NA
Jawun Evans,Oklahoma St.,39,38748,12.8636,4.9091,1.1364,0.1818,4.3636,109.4,100.456,2016,6,286,1,NA,NA
Tyler Dorsey,Oregon,41,39243,13.1143,1.8857,0.8,0.2,4.2,110.4,103.353,2016,6.4,136,1,NA,NA
Diamond Stone,Maryland,40,40521,12.4118,0.4118,0.5,1.5882,5.4706,114.3,97.5476,2016,6.11,40,1,NA,NA
Donte DiVincenzo,Villanova,17,40884,1.6667,0.4444,0.4444,0,1.7778,81.8,94.9433,2016,6.5,140,1,NA,NA
Frank Mason III,Kansas,34,41006,12.8378,4.5405,1.3243,0.0811,4.2162,113.9,97.8784,2016,5.11,310,1,NA,NA
Jamal Murray,Kentucky,7,41317,20,2.1944,0.9722,0.3056,5.1667,118,101.145,2016,6.4,307,1,NA,NA
Damyean Dotson,Houston,44,41447,13.9062,1.25,0.6875,0.1875,6.7812,129.9,103.189,2016,6.5,12,1,NA,NA
Dwayne Bacon,Florida St.,40,41746,15.7647,1.4706,0.9706,0.0294,5.7941,102.8,103.227,2016,6.7,24,1,NA,NA
Malik Beasley,Florida St.,19,41749,15.5588,1.5,0.9412,0.1765,5.2941,114.9,104.037,2016,6.5,24,1,NA,NA
Admiral Schofield,Tennessee,42,42130,7.625,0.9062,0.375,0.3125,4.0312,114.3,105.932,2016,6.4,286,1,NA,NA
Matisse Thybulle,Washington,20,43029,6.2059,1.5882,1.1471,0.9412,3.2059,101.5,102.364,2016,6.5,29,1,NA,NA
Cody Martin,North Carolina St.,36,46681,6.0303,2.2727,1.2121,0.4242,4.3636,104,106.58,2016,6.7,123,1,NA,NA
Cameron Johnson,Pittsburgh,11,52111,4.6774,0.4839,0.2903,0.1613,1.8387,110.4,102.44,2016,6.7,328,1,NA,NA
