ID,State,City,Lat,Long
508,Alabama,Holy Trinity,32.222222,-85.005278
509,Alabama,Honoraville,31.878397,-86.398064
510,Alabama,Hope Hull,32.224256,-86.393189
511,Alabama,Horton,34.190033,-86.317318
512,Alabama,Houston,34.118042,-87.26183
513,Alabama,Huntsville,34.726866,-86.567318
514,Alabama,Hurtsboro,32.245429,-85.395903
515,Alabama,Huxford,31.22,-87.461944
516,Alabama,Ider,34.735059,-85.641577
517,Alabama,Irvington,30.480241,-88.239563
518,Alabama,Jachin,32.244174,-88.233356
519,Alabama,Jack,31.552392,-86.043083
520,Alabama,Jackson,31.513098,-87.867192
521,Alabama,Jacksons Gap,32.879698,-85.848662
522,Alabama,Jacksonville,33.830966,-85.77518
523,Alabama,Jasper,33.871672,-87.249144
524,Alabama,Jefferson,32.386667,-87.898056
525,Alabama,Jemison,32.980539,-86.718052
526,Alabama,Jones,32.608515,-86.889266
527,Alabama,Joppa,34.283739,-86.551939
528,Alabama,Kansas,33.901667,-87.551944
529,Alabama,Kellerman,33.340556,-87.304722
530,Alabama,Kellyton,32.979068,-86.048397
531,Alabama,Kennedy,33.574964,-88.05172
532,Alabama,Kent,32.618889,-85.948611
533,Alabama,Killen,34.901632,-87.508185
534,Alabama,Kimberly,33.768355,-86.808417
535,Alabama,Kinston,31.262118,-86.069532
536,Alabama,Knoxville,32.982423,-87.791855
537,Alabama,Laceys Spring,34.499647,-86.612869
538,Alabama,Lafayette,32.925237,-85.442563
539,Alabama,Lanett,32.861609,-85.21608
540,Alabama,Langston,34.497831,-86.10563
541,Alabama,Lapine,31.985423,-86.278534
542,Alabama,Lawley,32.864558,-86.956708
543,Alabama,Leeds,33.528333,-86.574824
544,Alabama,Leesburg,34.191083,-85.77051
545,Alabama,Leighton,34.710982,-87.522133
546,Alabama,Lenox,31.327261,-87.19671
547,Alabama,Leroy,31.491021,-87.968672
548,Alabama,Lester,34.918364,-87.143396
549,Alabama,Letohatchee,32.086199,-86.488013
550,Alabama,Lexington,34.955924,-87.393519
551,Alabama,Lillian,30.39724,-87.474452
552,Alabama,Lincoln,33.605913,-86.111152
553,Alabama,Linden,32.305343,-87.795358
554,Alabama,Lineville,33.328613,-85.734609
555,Alabama,Lisman,32.217722,-88.323419
556,Alabama,Little River,31.22459,-87.754796
557,Alabama,Livingston,32.588509,-88.173592
558,Alabama,Loachapoka,32.604167,-85.593333
559,Alabama,Lockhart,31.010278,-86.349722
560,Alabama,Locust Fork,33.9075,-86.615278
561,Alabama,Logan,34.184079,-87.038115
562,Alabama,Louisville,31.794262,-85.558062
563,Alabama,Lower Peach Tree,31.850365,-87.568224
564,Alabama,Lowndesboro,32.300292,-86.609868
565,Alabama,Loxley,30.617964,-87.75624
566,Alabama,Luverne,31.70739,-86.256601
567,Alabama,Lynn,34.052984,-87.539814
568,Alabama,Madison,34.6578,-86.8056
569,Alabama,Madison,34.7837,-86.7486
570,Alabama,Magnolia,32.141931,-87.699815
571,Alabama,Magnolia Springs,30.394497,-87.785781
572,Alabama,Malcolm,31.191111,-88.0075
573,Alabama,Malvern,31.157528,-85.522327
574,Alabama,Maplesville,32.804507,-86.871704
575,Alabama,Marbury,32.639373,-86.510138
576,Alabama,Margaret,33.686111,-86.475
577,Alabama,Marion,32.646301,-87.331437
578,Alabama,Marion Junction,32.426589,-87.270181
579,Alabama,Mathews,32.128288,-86.041262
580,Alabama,Maylene,33.231694,-86.872745
581,Alabama,Mc Calla,33.284546,-87.102379
582,Alabama,Mc Intosh,31.236108,-88.051102
583,Alabama,Mc Kenzie,31.54495,-86.735615
584,Alabama,Mc Shan,33.381667,-88.143333
585,Alabama,Mc Williams,31.845556,-87.088333
